,pc_guess_fem_1,pc_guess_unknown_1,pc_detect_fem_1,pc_detect_unknown_1pc_guess_fem_3,pc_guess_unknown_3,pc_detect_fem_3,pc_detect_unknown_3,pc_guess_fem_5,pc_guess_unknown_5,pc_detect_fem_5,pc_detect_unknown_5,pc_guess_fem_10,pc_guess_unknown_10,pc_detect_fem_10,pc_detect_unknown_10,pc_detect_unknown_1,pc_guess_fem_3,pc_detect_fem_10_upper,pc_detect_fem_10_lower,pc_guess_fem_10_upper,pc_guess_fem_10_lower
2010,0.48717948717948717,0.20408163265306123,0.47058823529411764,,0.16129032258064516,0.5402298850574713,0.29838709677419356,0.49162011173184356,0.1712962962962963,0.5,0.3055555555555556,0.3813559322033898,0.1650943396226415,0.3838383838383838,0.29952830188679247,0.30612244897959184,0.5288461538461539,0.45872045931008193,0.3089563083666857,0.42262951710905017,0.34008234729772946
2009,0.5333333333333333,0.11764705882352941,0.5909090909090909,,0.14516129032258066,0.5411764705882353,0.31451612903225806,0.4293193717277487,0.14732142857142858,0.43312101910828027,0.29910714285714285,0.36023054755043227,0.1658653846153846,0.36177474402730375,0.2956730769230769,0.35294117647058826,0.5188679245283019,0.43569301325807297,0.28785647479653453,0.4016968937042784,0.3187642013965861
2008,0.5714285714285714,0.14634146341463414,0.5806451612903226,,0.17293233082706766,0.48936170212765956,0.2932330827067669,0.38,0.16666666666666666,0.3742690058479532,0.2875,0.34844192634560905,0.17523364485981308,0.34219269102990035,0.2967289719626168,0.24390243902439024,0.4818181818181818,0.4163749340205546,0.2680104480392461,0.3922503375605623,0.3046335151306558
2007,0.4634146341463415,0.16326530612244897,0.46875,,0.15436241610738255,0.3557692307692308,0.30201342281879195,0.31840796019900497,0.1728395061728395,0.313953488372093,0.29218106995884774,0.32386363636363635,0.1756440281030445,0.31561461794019935,0.29508196721311475,0.3469387755102041,0.36507936507936506,0.38938510974347806,0.24184412613692066,0.36777464338939747,0.27995262933787524
2006,0.4117647058823529,0.20930232558139536,0.41935483870967744,,0.17333333333333334,0.28703703703703703,0.28,0.295,0.16666666666666666,0.29411764705882354,0.2916666666666667,0.31671554252199413,0.17632850241545894,0.31399317406143346,0.2922705314009662,0.27906976744186046,0.29838709677419356,0.387060806911675,0.24092554121119192,0.3607976681258589,0.27263341691812937
2005,0.2549019607843137,0.10526315789473684,0.21951219512195122,,0.16556291390728478,0.23853211009174313,0.2781456953642384,0.26857142857142857,0.15865384615384615,0.2653061224489796,0.2932692307692308,0.3029411764705882,0.16666666666666666,0.29310344827586204,0.28921568627450983,0.2807017543859649,0.24603174603174602,0.3654073698444895,0.22079952670723457,0.3446078431372549,0.26127450980392153
2004,0.2564102564102564,0.22,0.25,,0.17857142857142858,0.2857142857142857,0.3,0.27564102564102566,0.1875,0.27941176470588236,0.2916666666666667,0.3117283950617284,0.17346938775510204,0.3140794223826715,0.29336734693877553,0.28,0.2782608695652174,0.38742125911736536,0.24073758564797762,0.3550957420005039,0.26836104812295286
2003,0.2222222222222222,0.18181818181818182,0.25,,0.15841584158415842,0.3,0.3069306930693069,0.30718954248366015,0.18617021276595744,0.3,0.30851063829787234,0.325,0.17098445595854922,0.3272058823529412,0.29533678756476683,0.2727272727272727,0.2823529411764706,0.4010400792441329,0.2533716854617495,0.3677461139896373,0.2822538860103627
2002,0.35,0.13043478260869565,0.36666666666666664,,0.17346938775510204,0.3088235294117647,0.30612244897959184,0.33112582781456956,0.1793478260869565,0.3178294573643411,0.29891304347826086,0.31974921630094044,0.1671018276762402,0.32,0.2819843342036554,0.34782608695652173,0.30864197530864196,0.39049608355091386,0.24950391644908615,0.3615246732200005,0.2779737593818804
2001,0.2222222222222222,0.18181818181818182,0.25,,0.21428571428571427,0.29411764705882354,0.30612244897959184,0.3475177304964539,0.1896551724137931,0.34146341463414637,0.29310344827586204,0.3108974358974359,0.1702127659574468,0.30656934306569344,0.2712765957446808,0.2727272727272727,0.3246753246753247,0.37438849200186364,0.23875019412952325,0.3534506273867976,0.2683442444080742
